manufacturerid,name,contactinfo,address,country,email,phone
1,Cogibox,828-582-7825,5 Dorton Circle,Brazil,mbedford0@discuz.net,440-814-9645
2,Cogilith,105-491-1231,552 Hudson Crossing,Brazil,mnise1@upenn.edu,618-150-7132
3,Topdrive,334-735-0868,937 Sugar Hill,Philippines,slatliff2@a8.net,399-190-1670
4,Fanoodle,977-952-9329,3 Monica Way,Brazil,madan3@shinystat.com,392-325-7189
5,Mymm,326-551-0080,32448 Pleasure Point,Iraq,lmaffione4@skyrock.com,375-748-6594
6,Tazz,841-477-9388,51 Linden Center,Russia,hpounder5@state.gov,723-434-3537
7,Mita,707-519-1391,6 Cambridge Crossing,China,mbedlington6@zimbio.com,850-314-0979
8,Twinder,402-200-2700,702 Burning Wood Plaza,United States,cchrystie7@yale.edu,722-963-8728
9,Flipstorm,,4 Forest Run Point,France,wlydiate8@virginia.edu,356-645-9045
10,Blogtags,545-324-1759,4053 Dexter Alley,Netherlands,ahumbee9@washingtonpost.com,629-500-4640
