warehouseid,locationid,capacity,managerid,openinghours,closinghours,contactinfo
1,4,46808,1,11:01 AM,4:47 PM,721-205-5531
2,2,25835,1,12:53 PM,2:29 PM,591-855-9016
3,5,92458,1,10:58 AM,12:05 PM,272-445-0822
4,9,22548,7,2:44 PM,3:41 PM,552-599-6354
5,4,54842,6,2:43 PM,12:13 PM,
6,9,97686,7,12:30 PM,4:06 PM,832-322-6487
7,9,92228,8,10:56 AM,3:40 PM,950-185-8453
8,10,63723,1,10:23 AM,1:59 PM,216-893-3165
9,3,22411,5,9:03 AM,12:04 PM,405-996-9735
10,6,35612,10,9:00 AM,1:15 PM,882-669-0679
